income_year,age,n_samples,est_workforce,mean,p1,p5,p10,p25,p50,p75,p90,p95,p99,at_mean,at_p1,at_p5,at_p10,at_p25,at_p50,at_p75,at_p90,at_p95,at_p99,at_effective_rate_p50
1961,16,213,361774,358.3,10.0,20.0,30.0,60.0,216.3,416.02,780.0,1158.55,2072.88,347.55,9.7,19.4,29.1,58.2,209.81,403.54,756.6,1115.87,1862.47,0.03
1961,17,314,533426,510.96,6.11,35.25,65.0,134.99,324.61,690.19,1150.0,1600.0,2327.21,495.63,5.93,34.19,63.05,130.94,314.87,669.48,1108.0,1522.0,2045.59,0.03
1961,18,438,761346,951.6,22.3,51.4,97.83,300.0,700.13,1376.34,2064.44,2800.0,3543.5,923.05,21.63,49.86,94.9,291.0,679.13,1316.23,1856.4,2386.0,2921.32,0.03
1961,19,552,981312,1493.25,21.84,100.0,200.0,500.0,1170.47,2224.88,3267.09,3610.45,4772.55,1423.79,21.18,97.0,194.0,485.0,1126.83,1971.91,2722.3,2969.31,3782.78,0.0373
1961,20,479,941047,2171.39,26.57,108.7,300.0,846.24,2080.0,3073.99,4000.0,4699.67,6304.89,1933.4,25.77,105.44,291.0,820.85,1867.6,2583.27,3242.0,3731.77,4872.37,0.1021
1961,21,513,963783,2468.47,50.0,300.0,500.0,1200.0,2270.58,3594.02,4593.79,5188.45,6794.03,2147.3,48.5,291.0,485.0,1154.0,2004.82,2957.69,3657.65,4085.57,5209.88,0.117
1961,22,460,856282,2894.39,82.57,296.18,573.35,1384.89,2802.67,4001.95,5111.23,6027.48,7968.64,2453.96,80.09,287.29,556.15,1324.1,2387.92,3243.36,4029.2,4680.96,6005.62,0.148
1961,23,504,959494,3058.8,55.07,233.98,500.0,1500.0,3000.0,4401.47,5400.0,6195.66,8220.94,2572.34,53.42,226.96,485.0,1430.0,2530.0,3523.03,4240.0,4797.01,6169.61,0.1567
1961,24,477,911024,3455.82,60.48,427.87,835.71,1992.65,3300.0,4825.01,6100.0,7118.92,8517.56,2858.19,58.67,415.03,810.64,1804.71,2746.0,3820.26,4731.0,5434.05,6362.41,0.1679
1961,25,519,957128,3823.52,41.5,491.5,780.0,2200.0,3700.0,5000.0,6200.0,7474.7,14360.13,3118.46,40.26,476.75,756.6,1954.0,3032.0,3948.0,4800.0,5679.54,9821.27,0.1805
1961,26,543,1002979,4111.51,126.05,561.13,1000.0,2189.74,4000.0,5489.14,7072.19,8389.78,12942.66,3320.06,122.27,544.3,970.0,1946.61,3242.0,4305.07,5401.81,6279.36,9051.32,0.1895
1961,27,549,1019440,4178.1,50.0,491.2,1000.0,2503.52,4000.0,5500.0,7000.0,8008.11,12477.66,3366.67,48.5,476.46,970.0,2172.53,3242.0,4313.0,5352.0,6031.27,8786.27,0.1895
